1.34975;1.76041;1.71192;3.61515;4;-0.189201;1141;2.7813;2.87478;4;-0.1892;2516;
1.65006;2.33582;2.23221;3.31922;4;-0.189201;937;2.80413;2.85251;4;-0.1892;2383;
2.48613;2.27394;3.28839;2.27738;4;-0.189201;891;2.77673;2.8792;4;-0.1892;2351;
1.15169;3.30202;1.39284;3.74973;4.00006;-0.189201;199;2.77228;2.88348;4;-0.1892;2348;
2.24434;2.7542;2.38529;3.21098;4;-0.189201;985;2.76695;2.8886;4;-0.189201;2459;
1.61297;1.97441;2.42141;3.18383;4;-0.189201;1041;2.77377;2.88204;4;-0.1892;2337;
1.14212;3.79046;1.32817;3.77312;4.00006;-0.189201;204;2.76975;2.88591;4;-0.1892;2367;
2.37712;2.75342;2.89864;2.75651;4.00006;-0.189201;196;2.77871;2.87728;4;-0.1892;2321;
2.10182;3.36946;2.29028;3.27942;4;-0.189201;564;2.78659;2.86961;3.99997;-0.189194;2176;
1.00881;1.52193;1.83574;3.55388;4;-0.189201;682;2.76949;2.88615;4;-0.1892;2399;
2.61365;1.31089;3.39605;2.11349;4;-0.189201;530;2.78569;2.87053;4;-0.189201;2465;
1.15648;2.94979;1.59853;3.66671;4.00001;-0.189201;277;2.77605;2.87985;4;-0.1892;2396;
3.10446;1.85801;2.89415;2.76123;4.00006;-0.189201;202;2.79363;2.8628;4;-0.189201;2618;
2.28296;1.11723;3.46002;2.00712;4.00003;-0.189201;257;2.79355;2.86288;4;-0.189201;2719;
1.54951;1.588;2.13718;3.38119;4;-0.189201;1027;2.7985;2.85804;4;-0.189201;2631;
2.81697;1.63946;3.49217;1.95059;4.00001;-0.189201;277;2.77395;2.88188;4;-0.1892;2835;
2.82556;2.5917;2.56151;3.07225;4;-0.189201;531;2.7739;2.88192;4;-0.1892;2323;
