5.73101;-5.42228;;1.00628;2.99372;7.88951e-05; 1;66;1.00113;2.9989;2.49483e-06; 1;25;1.00906;2.98387;0.000542363; 1;122;122
;;;6.146e+64;6.146e+64;6.7992e+130; 1;1001;1.00038;2.99965;2.69463e-07; 1;27;1.00324;2.99423;6.93035e-05; 1;57;57
;;;1.00163;2.99849;5.02062e-06; 498;21;0.999993;3.00001;1.00262e-10; 125;5;1;3;1.76576e-21; 110;3;3
2.89701;-7.7961;;1.00606;2.99394;7.34713e-05; 1;66;1.00119;2.99882;2.80619e-06; 1;25;1.00328;2.98134;0.00130577; 1;124;124
;;;1.48171e+65;1.48171e+65;3.95182e+131; 1;1001;0.999656;3.00039;2.78399e-07; 1;26;1.00114;2.99349;0.000158636; 1;58;58
;;;1.00011;2.99989;2.29545e-08; 267;11;1.00008;2.99992;1.27219e-08; 148;6;1;3;4.44838e-23; 110;3;3
-8.31247;-7.93097;;1.00636;2.99364;8.08172e-05; 1;46;1.00127;2.99875;3.18144e-06; 1;20;0.988166;2.98611;0.00298007; 1;130;130
;;;3.37056e+65;3.37056e+65;2.04492e+132; 1;1001;0.999556;3.00047;4.16266e-07; 1;27;0.995655;2.9949;0.0004018; 1;60;60
;;;1.00092;2.99916;1.56554e-06; 494;19;1.00001;2.99999;3.16809e-10; 156;6;1;3;1.19275e-20; 112;3;3
-5.52792;-5.58195;;1.00588;2.99412;6.91749e-05; 1;49;1.00111;2.99893;2.38323e-06; 1;21;0.988715;2.98516;0.00307666; 1;124;124
;;;2.51581e+65;2.51581e+65;1.13927e+132; 1;1001;0.999517;3.00053;5.26193e-07; 1;27;0.996067;2.99483;0.000373779; 1;58;58
;;;1.00141;2.99869;3.73707e-06; 379;15;1.00002;2.99998;4.73593e-10; 152;6;1;3;5.88647e-22; 111;3;3
8.62237;-4.76912;;1.00595;2.99405;7.08782e-05; 1;68;1.00153;2.99849;4.63876e-06; 1;24;1.01318;2.98657;0.000354275; 1;124;124
;;;2.44334e+63;2.44334e+63;1.07458e+128; 1;1001;1.00054;2.99947;5.76406e-07; 1;15;1.00459;2.99532;4.30404e-05; 1;58;58
;;;1.00019;2.9998;7.50696e-08; 206;8;1.0005;2.99917;1.39302e-06; 71;3;1;3;9.97289e-15; 57;2;2
9.8754;-5.97841;;1.00621;2.99379;7.72499e-05; 1;69;1.00121;2.9988;2.91402e-06; 1;25;1.01315;2.98669;0.000350233; 1;127;127
;;;1.71525e+63;1.71525e+63;5.29576e+127; 1;1001;1.00063;2.99937;7.8511e-07; 1;15;1.00471;2.99524;4.48247e-05; 1;59;59
;;;1;3;1.9172e-11; 161;6;1;3;3.57416e-11; 138;5;1;3;4.45215e-21; 108;3;3
-6.54434;-5.39953;;1.00632;2.99368;7.98909e-05; 1;40;1.0014;2.99853;4.15303e-06; 1;18;0.98761;2.98621;0.00308632; 1;125;125
;;;2.65467e+65;2.65467e+65;1.26851e+132; 1;1001;0.999548;3.00051;4.85223e-07; 1;22;0.995454;2.99494;0.00041546; 1;58;58
;;;1.0017;2.99799;7.29159e-06; 597;23;1;3;1.62988e-11; 161;6;1;3;8.41399e-27; 111;3;3
-5.41018;-1.21967;;0.993728;3.00627;7.86731e-05; 1;49;0.998875;3.00118;2.66181e-06; 1;21;0.984132;2.98955;0.00313066; 1;117;117
;;;1.76988e+65;1.76988e+65;5.63848e+131; 1;1001;0.999575;3.00043;3.64626e-07; 1;24;0.994332;2.99627;0.000399398; 1;55;55
;;;0.999239;3.00082;1.26161e-06; 126;5;0.999992;3.00002;1.79725e-09; 105;4;1;3;3.69821e-14; 61;2;2
-8.36016;-1.78885;;0.99374;3.00626;7.83815e-05; 1;56;0.998858;3.00108;2.49215e-06; 1;23;0.983819;2.99172;0.0027235; 1;124;124
;;;2.35583e+65;2.35583e+65;9.98985e+131; 1;1001;0.999304;3.00064;9.0672e-07; 1;27;0.993591;2.99672;0.000427265; 1;57;57
;;;0.999963;3.00004;2.85215e-09; 184;7;0.998711;3.00106;2.99646e-06; 91;4;1;3;4.50913e-27; 117;3;3
2.35925;-8.73753;;1.00625;2.99375;7.82187e-05; 1;66;1.00124;2.99876;3.08418e-06; 1;25;1.00212;2.98169;0.00138857; 1;126;126
;;;1.72799e+65;1.72799e+65;5.37474e+131; 1;1001;nan;nan;nan; 1;1001;1.00082;2.99293;0.000207114; 1;58;58
;;;0.999994;2.99994;2.19666e-08; 189;8;1.00004;2.99996;3.19233e-09; 148;6;1;3;2.9974e-15; 58;2;2
-8.79047;-5.78277;;0.993968;3.00603;7.27778e-05; 1;42;0.998827;3.00112;2.64829e-06; 1;19;0.986214;2.98763;0.00307874; 1;128;128
;;;3.09247e+65;3.09247e+65;1.7214e+132; 1;1001;1.00069;2.99937;8.84896e-07; 1;22;0.994809;2.99534;0.000436602; 1;59;59
;;;0.999619;3.00037;2.82487e-07; 185;7;1.00005;2.99995;4.24828e-09; 98;4;1;3;6.6414e-23; 109;3;3
7.14811;9.83732;;0.993712;3.00629;7.90888e-05; 1;38;0.998868;3.00119;2.69813e-06; 1;18;1.0124;3.01379;0.00308584; 1;121;121
;;;-2.16209e+65;-2.16209e+65;8.41433e+131; 1;1001;1.00038;2.99957;3.36693e-07; 1;22;1.00478;3.00532;0.000459537; 1;56;56
;;;0.999996;3;2.62234e-11; 139;5;0.999996;3;3.59262e-11; 104;4;1;3;6.76215e-21; 111;3;3
-6.58914;-2.83113;;0.993786;3.00621;7.72338e-05; 1;47;0.998654;3.00139;3.74479e-06; 1;20;0.985463;2.98883;0.00297935; 1;122;122
;;;2.23449e+65;2.23449e+65;8.9873e+131; 1;1001;1.00055;2.99942;6.35477e-07; 1;35;0.994804;2.99601;0.000380704; 1;57;57
;;;0.999696;3.00031;1.88513e-07; 120;5;0.999601;3.00035;2.90541e-07; 96;4;1;3;3.14903e-20; 110;3;3
-0.680476;3.33358;;0.994233;3.00577;6.65085e-05; 1;49;0.998768;3.0013;3.21857e-06; 1;20;0.981588;3.00365;0.00122351; 1;88;88
;;;2.2426e+64;2.2426e+64;9.05269e+129; 1;1001;nan;nan;nan; 1;1001;0.993111;3.00137;0.000171302; 1;43;43
;;;0.999377;3.00065;8.09108e-07; 232;9;1;3;1.16891e-11; 135;5;1;3;1.39518e-14; 63;2;2
-7.07516;-1.00583;;0.993808;3.00619;7.66819e-05; 1;55;0.998578;3.00142;4.04683e-06; 1;22;0.983718;2.99192;0.00270378; 1;121;121
;;;2.0115e+65;2.0115e+65;7.28303e+131; 1;1001;0.999328;3.00061;8.35335e-07; 1;27;0.993717;2.99688;0.000402641; 1;56;56
